DataPoints:,1000,SampleDelay:,10
RPM,Current,Torque,Power (Current),Power (Torque)
100,0.39553220485654,-0.115532897949219,23000,4.1420035634516
200,0.46407929114659,-0.114753829956055,46000,9.71965394499524
300,0.516674527615979,-0.130566024780273,69000,16.2318090025534
400,0.683175145392622,-0.107563320922852,92000,28.6167735717413
500,0.842387857340662,-0.127409356689453,115000,44.1073250682445
600,0.888459653627805,-0.11802014465332,138000,55.8235664169609
700,1.00914329699942,-0.108890621948242,161000,73.9740672596978
800,1.15357633978455,-0.131939492797851,184000,96.6417854512574
900,1.30519535964543,-0.104412423706055,207000,123.011764600848
1000,1.4708805473993,-0.133838110351562,230000,154.030250733926
1100,1.62255053163661,-0.126861123657227,253000,186.904403776485
1200,1.73181815468929,-0.120859414672851,276000,217.626687685013
1300,1.83099483121007,-0.133913131713867,299000,249.263729454586
1400,1.94484924814093,-0.107823010253906,322000,285.129791813961
1500,2.06298467269133,-0.148057543945312,345000,324.052874609771
1600,2.15818612785106,-0.125764657592773,368000,361.607556497936
1700,2.25878980691168,-0.152697326660156,391000,402.117856259178
1800,2.35557115774053,-0.141322933959961,414000,444.014702649939
